,sym,matr
0,а,"[[1 0]
 [0 0]
 [0 0]]"
1,б,"[[1 0]
 [1 0]
 [0 0]]"
2,в,"[[0 1]
 [1 1]
 [0 1]]"
3,г,"[[1 1]
 [1 1]
 [0 0]]"
4,д,"[[1 1]
 [0 1]
 [0 0]]"
5,е,"[[1 0]
 [0 1]
 [0 0]]"
6,ё,"[[1 0]
 [0 0]
 [0 1]]"
7,ж,"[[0 1]
 [1 1]
 [0 0]]"
8,з,"[[1 0]
 [0 1]
 [1 1]]"
9,и,"[[0 1]
 [1 0]
 [0 0]]"
10,й,"[[1 1]
 [1 0]
 [1 1]]"
11,к,"[[1 0]
 [0 0]
 [1 0]]"
12,л,"[[1 0]
 [1 0]
 [1 0]]"
13,м,"[[1 1]
 [0 0]
 [1 0]]"
14,н,"[[1 1]
 [0 1]
 [1 0]]"
15,о,"[[1 0]
 [0 1]
 [1 0]]"
16,п,"[[1 1]
 [1 0]
 [1 0]]"
17,р,"[[1 0]
 [1 1]
 [1 0]]"
18,с,"[[0 1]
 [1 0]
 [1 0]]"
19,т,"[[0 1]
 [1 1]
 [1 0]]"
20,у,"[[1 0]
 [0 0]
 [1 1]]"
21,ф,"[[1 1]
 [1 0]
 [0 0]]"
22,х,"[[1 0]
 [1 1]
 [0 0]]"
23,ц,"[[1 1]
 [0 0]
 [0 0]]"
24,ч,"[[1 1]
 [1 1]
 [1 0]]"
25,ш,"[[1 0]
 [0 1]
 [0 1]]"
26,щ,"[[1 1]
 [0 0]
 [1 1]]"
27,ъ,"[[1 0]
 [1 1]
 [1 1]]"
28,ы,"[[0 1]
 [1 0]
 [1 1]]"
29,ь,"[[0 1]
 [1 1]
 [1 1]]"
30,э,"[[0 1]
 [1 0]
 [0 1]]"
31,ю,"[[1 0]
 [1 1]
 [0 1]]"
32,я,"[[1 1]
 [1 0]
 [0 1]]"
